tconst|titleType|primaryTitle|startYear|runtimeMinutes|genres|overview|release_date|tagline|averageRating|numVotes
tt0117951|movie|Trainspotting|1996|93|Drama|renton deeply immersed edinburgh drug scene try clean get despite allure drug influence friend|2/23/96|choose life|8.1|686031
tt0118604|movie|An American Werewolf in Paris|1997|98|Comedy,Fantasy,Horror|american man unwittingly get involved werewolf developed serum allowing transform|12/25/97|thing get little hairy|5.1|25538
tt0118617|movie|Anastasia|1997|94|Adventure,Animation,Drama|animated adventure retells story lost daughter russia last czar evil rasputin place curse romanov family anastasia grandmother empress maria get separated growing orphanage anastasia encounter two russian men seeking reward offered empress maria return granddaughter trio travel paris find empress grown skeptical imposter|11/20/97|discover adventure behind greatest mystery time|7.1|124867
tt0118661|movie|The Avengers|1998|89|Action,Adventure,Sci-Fi|british ministry agent john steed direction mother investigates diabolical plot arch villain sir august de wynter rule world weather control machine steed investigates beautiful doctor mr emma peel suspect simultaneously fall join force combat sir august|8/13/98|saving world style|3.8|44060
tt0118799|movie|Life Is Beautiful|1997|116|Comedy,Drama,Romance|touching story italian book seller jewish ancestry life little fairy tale creative happy life would come abrupt halt entire family deported concentration camp world war ii locked try convince son whole thing game|12/20/97|unforgettable fable prof love family imagination conquer|8.6|691962
tt0118842|movie|Chasing Amy|1997|113|Comedy,Drama,Romance|holden banky comic book artist everything going good meet alyssa also comic book artist holden fall hope crushed find lesbian|4/4/97|love|7.2|138944
tt0119038|movie|Le Dîner de Cons|1998|80|Comedy|week pierre friend organize called un ner de con everyone brings dumbest guy could find guest pierre think champ fran ois pignon steal show|4/15/98||7.6|41956
tt0119256|movie|Hard Eight|1996|102|Crime,Drama|stranger mentor young reno gambler wed hooker befriends vulgar casino regular|2/28/96|good luck long shot hedge bet|7.2|51233
tt0119282|movie|Hercules|1997|93|Adventure,Animation,Comedy|bestowed superhuman strength young mortal named hercules set prove hero eye father great god zeus along friend pegasus flying horse phil personal trainer hercules tricked hilarious hotheaded villain hades plotting take mount olympus|6/26/97|zero hero|7.3|232270
tt0119558|movie|Lolita|1997|137|Drama,Romance|urbane professor humbert humbert marries new england widow near nymphet daughter|9/27/97|forbidden love unthinkable attraction ultimate price|6.8|59972
tt0119654|movie|Men in Black|1997|98|Action,Adventure,Comedy|men black follows exploit agent kay jay member top secret organization established monitor police alien activity earth two men black find middle deadly plot intergalactic terrorist arrived earth assassinate two ambassador opposing galaxy order prevent world colliding mib must track terrorist prevent destruction earth another typical day men black|7/2/97|protecting earth scum universe|7.3|568320
tt0119675|movie|Mimic|1997|105|Horror,Sci-Fi|disease carried common cockroach killing manhattan child effort stop epidemic entomologist susan tyler creates mutant breed insect secretes fluid kill roach mutant breed engineered die one generation three year later susan find specie survived evolved large gruesome monster mimic human form|8/22/97|thousand year man evolution greatest creation|6.0|51928
tt0119709|movie|Most Wanted|1997|99|Action,Thriller|sgt james dunn wrongly accused assassination officer row saved death row recruited top secret special operation squad led lt col grant casey mission neutralize criminal avoided conventional law enforcement method first mission james made fall guy assassination first lady everyone loo|10/10/97|sometimes patriotic thing marine disobey order honored wanted|5.6|6115
tt0119743|movie|My Son the Fanatic|1997|87|Comedy,Drama,Romance|pakistani taxi driver parvez prostitute bettina find trapped middle islamic fundamentalist decide clean local town|10/21/97||6.8|1627
tt0119784|movie|The Night Flier|1997|94|Fantasy,Horror,Mystery|two investigative reporter tabloid magazine track across country night flier serial killer travel private plane stalking victim rural airport one reporter richard dees begin suspect night flier could perhaps vampire|4/30/97|never believe publish never publish believe|6.0|10990
tt0119951|movie|Private Parts|1997|109|Biography,Comedy,Drama|auto biographical story howard stern radio rebel also tv personality author movie star|3/7/97|never man done much little|6.9|37668
tt0119978|movie|The Rainmaker|1997|135|Crime,Drama,Thriller|rudy baylor matt damon young attorney client go work seedy ambulance chaser want help parent terminally ill boy suit insurance company represented ruthless jon voight take corporate america rudy scrappy paralegal danny devito must open law firm|11/18/97|totally unqualified try case lifetime every underdog day|7.2|75698
tt0120032|movie|Romy and Michele's High School Reunion|1997|92|Comedy|two bright party girl reinvent high school reunion armed borrowed jaguar new clothes story success inventor post note romy michele descend alma mater fa ade crumbles quickly|4/25/97|blonde leading blonde|6.3|48777
tt0120157|movie|Soldier|1998|99|Action,Drama,Sci-Fi|sergeant todd veteran soldier elite group armed force defeated new breed genetically engineered soldier dumped waste planet left dead soon interacts group crash survivor lead peaceful existence peace broken new soldier land planet eliminate colony sergeant todd must defend|10/23/98|left dead remote planet obsolete machine people fallen hero one last battle fight|6.0|57189
